有價證券代號,名稱,上市日,產業別
4538,大詠城,2019/01/15,電機機械
4541,晟田,2014/07/22,其他業
4542,科嶠,2014/08/25,電子零組件業
4543,萬在,2016/03/15,電機機械
4549,桓達,2014/11/27,電機機械
4550,長佳,2015/03/18,電機機械
4554,橙的,2016/08/05,其他電子業
4556,旭然,2015/12/22,其他業
4561,健椿,2018/06/11,電機機械
4563,百德,2018/07/12,電機機械
4568,科際精密,2018/10/03,電機機械
4609,唐鋒,2000/05/19,電器電纜
4702,中美實,1995/04/21,化學工業
4706,大恭,1998/04/17,化學工業
4707,磐亞,1998/05/20,化學工業
4711,永純,1999/02/24,化學工業
4712,南璋,1999/04/03,食品工業
4714,永捷,2000/03/27,化學工業
4716,大立,2000/03/27,化學工業
4721,美琪瑪,2001/03/09,化學工業
4726,永昕,2013/12/25,生技醫療業
4728,雙美,2012/01/10,生技醫療業
4729,熒茂,2009/02/24,光電業
4735,豪展,2011/08/16,生技醫療業
4736,泰博,2010/12/01,生技醫療業
4741,泓瀚,2017/09/26,化學工業
4743,合一,2011/09/23,生技醫療業
4744,皇將,2018/07/12,生技醫療業
4745,合富-KY,2013/01/30,生技醫療業
4747,強生,2013/12/25,生技醫療業
4754,國碳科,2016/09/28,化學工業
4760,勤凱,2019/03/21,其他電子業
4767,誠泰科技,2018/10/29,化學工業
4803,VHQ-KY,2015/12/16,文化創意業
4804,大略-KY,2015/12/04,觀光事業
4806,昇華,2016/03/09,文化創意業
4903,聯光通,2001/05/14,通信網路業
4905,台聯電,2001/12/07,通信網路業
4907,富宇,2002/03/04,建材營造業
4908,前鼎,2002/02/27,通信網路業
4909,新復興,2002/11/28,通信網路業
4911,德英,2011/03/21,生技醫療業
4924,欣厚-KY,2011/10/18,電腦及週邊設備業
4931,新盛力,2019/09/17,電腦及週邊設備業
4933,友輝,2010/05/04,光電業
4939,亞電,2011/09/19,電子零組件業
4944,兆遠,2011/05/31,光電業
4946,辣椒,2011/06/10,文化創意業
4947,昂寶-KY,2011/10/18,半導體業
4950,牧東,2012/04/27,其他業
4953,緯軟,2014/01/08,資訊服務業
4966,譜瑞-KY,2011/09/13,半導體業
4971,IET-KY,2013/07/24,半導體業
4972,湯石照明,2013/06/17,光電業
4973,廣穎,2012/06/19,半導體業
4974,亞泰,2011/11/29,電子零組件業
4979,華星光,2011/12/12,通信網路業
4987,科誠,2012/03/21,電腦及週邊設備業
4991,環宇-KY,2014/09/15,半導體業
4995,晶達,2012/05/09,光電業
5009,榮剛,1998/10/17,鋼鐵工業
5011,久陽,1999/05/06,鋼鐵工業
5013,強新,2000/05/08,鋼鐵工業
5014,建錩,2001/02/15,鋼鐵工業
5015,華祺,2000/12/15,鋼鐵工業
5016,松和,2001/03/05,鋼鐵工業
5102,富強,2000/10/27,橡膠工業
5201,凱衛,2000/10/12,資訊服務業
5202,力新,2000/10/18,資訊服務業
5205,中茂,2001/05/14,其他電子業
5206,坤悅,2001/10/08,建材營造業
5209,新鼎,2002/02/25,資訊服務業
5210,寶碩,2002/04/25,資訊服務業
5211,蒙恬,2002/12/23,資訊服務業
5212,凌網,2003/03/24,資訊服務業
5213,亞昕,2003/04/24,建材營造業
5220,萬達光電,2018/04/26,光電業
5223,安力-KY,2018/07/02,電腦及週邊設備業
5227,立凱-KY,2013/12/09,電子零組件業
5230,雷笛克光學,2012/06/05,光電業
5245,智晶,2015/05/25,光電業
5251,天鉞電,2012/11/26,光電業
5263,智崴,2012/12/18,文化創意業
5272,笙科,2013/05/30,半導體業
5274,信驊,2013/04/30,半導體業
5276,達輝-KY,2014/06/12,其他業
5278,尚凡,2013/06/04,電子商務
5281,大峽谷-KY,2016/03/30,光電業
5287,數字,2014/01/20,電子商務
5289,宜鼎,2013/11/27,電腦及週邊設備業
5291,邑昇,2014/12/23,電子零組件業
5299,杰力,2018/01/23,半導體業
5301,寶得利,1990/06/25,觀光事業
5302,太欣,1991/01/17,半導體業
5304,鼎創達,1991/07/16,電腦及週邊設備業
5306,桂盟,1995/12/26,其他業
5309,系統電,1996/03/18,電子零組件業
5310,天剛,1996/04/09,資訊服務業
5312,寶島科,1996/05/25,生技醫療業
5314,世紀,1996/09/16,半導體業
5315,光聯,1996/11/02,光電業
5321,友銓,1996/12/30,電子零組件業
5324,士開,1997/01/30,建材營造業
5328,華容,1997/08/28,電子零組件業
5340,建榮,1998/01/20,電子零組件業
5344,立衛,1998/03/23,半導體業
5345,天揚,1998/03/23,電子零組件業
