有價證券代號,名稱,上市日,產業別
2707,晶華,1998/03/09,觀光事業
2712,遠雄來,2013/12/03,觀光事業
2722,夏都,2012/03/14,觀光事業
2723,美食-KY,2010/11/22,觀光事業
2727,王品,2012/03/06,觀光事業
2731,雄獅,2013/09/24,觀光事業
2739,寒舍,2016/05/19,觀光事業
2748,雲品,2016/11/23,觀光事業
2801,彰銀,1962/02/15,金融保險業
2809,京城銀,1983/07/20,金融保險業
2812,台中銀,1984/05/15,金融保險業
2816,旺旺保,1992/05/05,金融保險業
2820,華票,1994/10/26,金融保險業
2823,中壽,1995/02/08,金融保險業
2832,台產,1997/09/30,金融保險業
2834,臺企銀,1998/01/03,金融保險業
2836,高雄銀,1998/05/18,金融保險業
2838,聯邦銀,1998/06/29,金融保險業
2841,台開,1999/01/08,建材營造業
2845,遠東銀,1998/11/27,金融保險業
2849,安泰銀,1999/09/27,金融保險業
2850,新產,2000/05/22,金融保險業
2851,中再保,2000/07/06,金融保險業
2852,第一保,2000/11/28,金融保險業
2855,統一證,2002/09/16,金融保險業
2867,三商壽,2012/12/18,金融保險業
2880,華南金,2001/12/19,金融保險業
2881,富邦金,2001/12/19,金融保險業
2882,國泰金,2001/12/31,金融保險業
2883,開發金,2001/12/28,金融保險業
2884,玉山金,2002/01/28,金融保險業
2885,元大金,2002/02/04,金融保險業
2886,兆豐金,2002/02/04,金融保險業
2887,台新金,2002/02/18,金融保險業
2888,新光金,2002/02/19,金融保險業
2889,國票金,2002/03/26,金融保險業
2890,永豐金,2002/05/09,金融保險業
2891,中信金,2002/05/17,金融保險業
2892,第一金,2003/01/02,金融保險業
2897,王道銀行,2017/05/05,金融保險業
2901,欣欣,1976/05/07,貿易百貨業
2903,遠百,1978/10/11,貿易百貨業
2904,匯僑,1983/01/05,其他業
2905,三商,1988/09/19,貿易百貨業
2906,高林,1989/12/26,貿易百貨業
2908,特力,1993/02/18,貿易百貨業
2910,統領,1996/12/30,貿易百貨業
2911,麗嬰房,1997/01/18,貿易百貨業
2912,統一超,1997/08/22,貿易百貨業
2913,農林,1962/02/09,貿易百貨業
2915,潤泰全,1977/07/20,貿易百貨業
2923,鼎固-KY,2012/12/07,建材營造業
2929,淘帝-KY,2013/12/30,貿易百貨業
2936,客思達-KY,2016/09/26,貿易百貨業
2939,凱羿-KY,2018/01/11,貿易百貨業
3002,歐格,2002/01/23,電腦及週邊設備業
3003,健和興,2002/02/19,電子零組件業
3004,豐達科,2002/02/25,鋼鐵工業
3005,神基,2002/02/25,電腦及週邊設備業
3006,晶豪科,2002/03/04,半導體業
3008,大立光,2002/03/11,光電業
3010,華立,2002/07/22,電子通路業
3011,今皓,2002/07/22,電子零組件業
3013,晟銘電,2002/09/16,電腦及週邊設備業
3014,聯陽,2002/10/29,半導體業
3015,全漢,2002/10/16,電子零組件業
3016,嘉晶,2002/12/24,半導體業
3017,奇鋐,2002/09/27,電腦及週邊設備業
3018,同開,2002/08/26,其他電子業
3019,亞光,2002/08/26,光電業
3021,鴻名,2002/08/26,電子零組件業
3022,威強電,2002/08/26,電腦及週邊設備業
3023,信邦,2002/08/26,電子零組件業
3024,憶聲,2002/08/26,光電業
3025,星通,2002/08/26,通信網路業
3026,禾伸堂,2002/08/26,電子零組件業
3027,盛達,2002/08/26,通信網路業
3028,增你強,2002/08/26,電子通路業
3029,零壹,2002/08/26,資訊服務業
3030,德律,2002/10/29,其他電子業
3031,佰鴻,2002/08/26,光電業
3032,偉訓,2002/08/26,電子零組件業
3033,威健,2002/08/26,電子通路業
3034,聯詠,2002/08/26,半導體業
3035,智原,2002/08/26,半導體業
3036,文曄,2002/08/26,電子通路業
3037,欣興,2002/08/26,電子零組件業
3038,全台,2002/08/26,光電業
3040,遠見,2002/08/26,其他業
3041,揚智,2002/08/26,半導體業
3042,晶技,2002/08/26,電子零組件業
3043,科風,2002/08/26,其他電子業
3044,健鼎,2002/08/26,電子零組件業
3045,台灣大,2002/08/26,通信網路業
3046,建碁,2002/08/26,電腦及週邊設備業
3047,訊舟,2002/08/26,通信網路業
3048,益登,2002/10/01,電子通路業
3049,和鑫,2002/09/27,光電業
3050,鈺德,2002/10/29,光電業
3051,力特,2002/10/28,光電業
3052,夆典,1995/11/25,建材營造業
3054,立萬利,2002/11/18,半導體業
3055,蔚華科,2002/12/12,電子通路業
3056,總太,2003/03/03,建材營造業
3057,喬鼎,2002/12/18,電腦及週邊設備業
3058,立德,2002/12/09,電子零組件業
3059,華晶科,2002/12/24,光電業
3060,銘異,2003/04/21,電腦及週邊設備業
3062,建漢,2003/07/28,通信網路業
3090,日電貿,2007/12/31,電子零組件業
3094,聯傑,2007/08/06,半導體業
3130,一零四,2006/02/17,資訊服務業
3149,正達,2011/11/23,光電業
3164,景岳,2010/03/22,生技醫療業
3167,大量,2013/10/21,電機機械
3189,景碩,2004/11/01,半導體業
3209,全科,2008/11/26,電子通路業
3229,晟鈦,2009/12/31,電子零組件業
3231,緯創,2003/08/19,電腦及週邊設備業
3257,虹冠電,2011/03/21,半導體業
3266,昇陽,2014/12/24,建材營造業
3296,勝德,2007/12/31,電子零組件業
3305,昇貿,2008/07/10,其他電子業
3308,聯德,2008/03/12,電子零組件業
3311,閎暉,2004/03/08,通信網路業
3312,弘憶股,2010/12/29,電子通路業
3321,同泰,2015/12/15,電子零組件業
3338,泰碩,2013/12/13,電子零組件業
3346,麗清,2016/12/19,電機機械
3356,奇偶,2005/03/28,光電業
3376,新日興,2007/12/31,電子零組件業
3380,明泰,2004/12/20,通信網路業
3383,新世紀,2007/12/10,光電業
3406,玉晶光,2005/12/20,光電業
3413,京鼎,2015/07/28,半導體業
3416,融程電,2015/01/23,電腦及週邊設備業
3419,譁裕,2008/01/21,通信網路業
3432,台端,2010/12/30,電子零組件業
3437,榮創,2014/07/09,光電業
3443,創意,2006/11/03,半導體業
3450,聯鈞,2006/04/12,其他電子業
3454,晶睿,2011/07/22,光電業
3481,群創,2006/10/24,光電業
3494,誠研,2007/12/13,電腦及週邊設備業
3501,維熹,2007/09/20,電子零組件業
3504,揚明光,2007/01/26,光電業
3515,華擎,2007/11/08,電腦及週邊設備業
3518,柏騰,2007/11/28,其他電子業
3519,綠能,2008/01/25,半導體業
3528,安馳,2016/05/18,電子通路業
3530,晶相光,2018/07/16,半導體業
3532,台勝科,2007/12/10,半導體業
3533,嘉澤,2007/12/10,電子零組件業
3535,晶彩科,2008/01/31,光電業
3536,誠創,2008/04/30,半導體業
3545,敦泰,2007/07/03,半導體業
3550,聯穎,2010/11/10,電子零組件業
3557,嘉威,2008/02/27,光電業
3563,牧德,2019/04/02,光電業
3576,聯合再生,2009/01/12,光電業
3579,尚志,2009/12/23,半導體業
3583,辛耘,2013/03/12,半導體業
3588,通嘉,2009/08/14,半導體業
3591,艾笛森,2010/11/12,光電業
3593,力銘,2009/03/16,電子零組件業
3596,智易,2009/03/11,通信網路業
3605,宏致,2009/03/26,電子零組件業
3607,谷崧,2009/10/28,電子零組件業
3617,碩天,2009/12/23,其他電子業
3622,洋華,2009/03/25,光電業
3645,達邁,2011/10/05,電子零組件業
3653,健策,2009/11/18,電子零組件業
3661,世芯-KY,2014/10/28,半導體業
3665,貿聯-KY,2011/04/21,其他電子業
3669,圓展,2011/08/25,光電業
3673,TPK-KY,2010/10/29,光電業
3679,新至陞,2011/10/05,電子零組件業
3682,亞太電,2013/08/05,通信網路業
3686,達能,2010/07/20,半導體業
3694,海華,2011/05/03,通信網路業
3698,隆達,2011/09/29,光電業
3701,大眾控,2004/08/30,電腦及週邊設備業
3702,大聯大,2005/11/09,電子通路業
3703,欣陸,2010/04/08,建材營造業
3704,合勤控,2010/08/16,通信網路業
3705,永信,2011/01/03,生技醫療業
3706,神達,2013/09/12,電腦及週邊設備業
3708,上緯投控,2016/08/31,化學工業
3711,日月光投控,2018/04/30,半導體業
3712,永崴投控,2018/10/01,電腦及週邊設備業
4104,佳醫,2007/12/31,生技醫療業
4106,雃博,2004/11/08,生技醫療業
4108,懷特,2008/07/16,生技醫療業
4119,旭富,2004/01/07,生技醫療業
4133,亞諾法,2009/12/28,生技醫療業
4137,麗豐-KY,2013/11/27,生技醫療業
4141,龍燈-KY,2012/04/25,生技醫療業
4142,國光生,2012/05/03,生技醫療業
4144,康聯-KY,2011/10/05,生技醫療業
4148,全宇生技-KY,2017/06/08,生技醫療業
4155,訊映,2017/12/05,生技醫療業
4164,承業醫,2012/10/24,生技醫療業
4190,佐登-KY,2015/10/21,生技醫療業
4306,炎洲,2008/01/21,塑膠工業
4414,如興,2004/09/06,紡織纖維
4426,利勤,2011/12/16,紡織纖維
4438,廣越,2016/10/18,紡織纖維
4526,東台,2003/09/15,電機機械
4532,瑞智,2003/08/04,電機機械
4536,拓凱,2013/10/09,其他業
4540,全球傳動,2018/08/15,電機機械
4545,銘鈺,2016/01/06,電子零組件業
4551,智伸科,2015/08/10,電機機械
4552,力達-KY,2016/07/20,電機機械
4555,氣立,2015/10/27,電機機械
4557,永新-KY,2015/10/12,電機機械
4560,強信-KY,2017/05/26,電機機械
4562,穎漢,2017/08/21,電機機械
4564,元翎,2019/03/07,電機機械
4566,時碩工業,2018/02/05,電機機械
4720,德淵,2015/06/24,化學工業
4722,國精化,2012/08/15,化學工業
